label,isrc,added_at,removed_at,days_on_playlist,title,artist,spotify_pop,cm_track_id,cm_artist_id,track_genre,release_date
53,CAN112000532,2020-11-08T00:00:00.000Z,2020-11-18T00:00:00.000Z,10,Wallflower,['Tim Atlas'],,31891394,[209724],vapor soul,['2020-11-06T00:00:00.000Z']
54,QZNWR2057923,2020-11-17T00:00:00.000Z,2020-12-23T00:00:00.000Z,36,Hurricanes,['Devan Garcia'],,32002270,[856767],,['2020-11-17T00:00:00.000Z']
55,GBUM72003738,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,WHAT YOU GONNA DO???,"['Bastille', 'Graham Coxon']",59.0,30517042,"[3924, 421869]","metropopolis,modern rock,pop,britpop",['2020-07-30T00:00:00.000Z']
56,QZMEN2089007,2020-11-14T00:00:00.000Z,2020-12-23T00:00:00.000Z,39,Rock Wit'cha,['Saint Jaimz'],,31953587,[3758978],,['2020-10-23T00:00:00.000Z']
57,QZ5FN2047265,2020-10-20T00:00:00.000Z,2020-11-26T00:00:00.000Z,37,We're Bound To Be Together,['Gamblers'],,31406820,[3754131],,['2020-09-18T00:00:00.000Z']
58,UK8E21903401,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Everything Affects Me Now,['Love Fame Tragedy'],,30053174,[1556348],english indie rock,['2020-07-08T00:00:00.000Z']
59,USUG12002400,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,Strawberry Lipstick,['YUNGBLUD'],,30209602,[558951],british indie rock,['2020-07-16T00:00:00.000Z']
60,QZMEQ2092555,2020-12-17T00:00:00.000Z,2021-01-03T00:00:00.000Z,17,Trapstar,['Cwby'],,31843853,[4092006],,['2020-10-30T00:00:00.000Z']
61,USA2P2035678,2020-11-17T00:00:00.000Z,2020-12-23T00:00:00.000Z,36,Montevideo,['Dirty Nice'],,31880614,[550480],,['2020-11-03T00:00:00.000Z']
62,USWB12000302,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Dinosaurs on the Mountain,['The Flaming Lips'],18.0,30061597,[75569],"alternative rock,art rock,experimental rock,garage rock,indie folk,indie pop,indie rock,lo-fi,modern rock,noise pop,okc indie,pop rock,psychedelic rock,rock",['2020-07-10T00:00:00.000Z']
63,QMEU32008072,2020-10-20T00:00:00.000Z,2020-11-26T00:00:00.000Z,37,I Wanna Be Your Girl,['Project Grand Slam'],,31442845,[10088],deep smooth jazz,['2020-07-31T00:00:00.000Z']
64,USBQU1900224,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Televised Mind,['Fontaines D.C.'],,29970141,[899906],"chamber psych,english indie rock,irish indie rock",['2020-06-30T00:00:00.000Z']
65,QZJ2A1900023,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,Self Control,['phem'],32.0,31154972,[716979],,['2020-08-28T00:00:00.000Z']
66,QZMLX2000004,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,Knife Under My Pillow,['Maggie Lindemann'],56.0,31150967,[62961],"dance pop,pop,post-teen pop,social media pop,viral pop",['2020-08-28T00:00:00.000Z']
67,USL4Q2019967,2020-09-30T00:00:00.000Z,2020-10-19T00:00:00.000Z,19,Stranger,['The Codas'],,31405436,[1792620],,['2020-09-18T00:00:00.000Z']
68,GBAHT1901286,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Tiny Indoor Fireworks,['Biffy Clyro'],,29182644,[1430],"modern rock,rock,scottish rock",['2020-05-14T00:00:00.000Z']
69,QZHN92059458,2020-10-20T00:00:00.000Z,2020-11-26T00:00:00.000Z,37,Solution,['Supreme Unbeing'],,31231619,[3729466],,['2020-09-04T00:00:00.000Z']
70,GBUM72002707,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,Where’s Your Head?,['NOISY'],,30204948,[3358995],,['2020-07-16T00:00:00.000Z']
71,CAGOO2016708,2020-09-12T00:00:00.000Z,2020-12-13T00:00:00.000Z,92,Fast Times,['DJ Mo Noize'],,31451927,[3940083],,['2020-07-31T00:00:00.000Z']
72,DECE72000358,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Heat Up,['Giant Rooks'],,29916196,[214634],"german indie,german pop,german rock",['2020-06-26T00:00:00.000Z']
73,GBWWP2005730,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Skin,['Spacey Jane'],,28588926,[745542],"australian garage punk,australian indie,australian indie rock,fremantle indie,perth indie",['2020-02-26T00:00:00.000Z']
74,GBUM72001368,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,Prescription Kid,['KID BRUNSWICK'],52.0,30367788,[1005449],,['2020-07-24T00:00:00.000Z']
75,QZK6N2030261,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,Isolation,['Killstation'],,31061655,[509542],"dark trap,emo rap,underground hip hop",['2020-08-18T00:00:00.000Z']
