index,added_at,cm_track,title,cm_artist,artists,release_date,days_on_playlist,artist1,artist2,cm_artist1,cm_artist2,spf_art1,spl_art1,sp_fcr_art1,spf_art2,spl_art2,sp_fcr_art2
21,2021-02-11,32757283,Try Lingual,[1652905],['Really From'],2021-02-05,12,Really From,,1652905,,6028.0,67546.0,8.924288632931631,,,
22,2021-01-21,32536677,Friends On Ice,[540010],['Yung'],2021-01-11,33,Yung,,540010,,2789.0,2996.0,93.09078771695593,,,
23,2021-02-04,32689336,Hey Crazy,[3762043],['Yellow Trash Can'],2021-01-28,19,Yellow Trash Can,,3762043,,478.0,16142.0,2.9612191797794574,,,
24,2021-02-04,32637208,Hanging Around,[680548],['Cardinal Moses'],2021-01-21,19,Cardinal Moses,,680548,,85.0,545.0,15.59633027522936,,,
25,2021-02-17,32822496,Clown,[3787965],['ER!N.D'],2021-02-12,6,ER!N.D,,3787965,,346.0,33157.0,1.0435202219742437,,,
26,2021-02-17,32772059,The Deal,[3902886],['Maria BC'],2021-02-05,6,Maria BC,,3902886,,115.0,1029.0,11.175898931000972,,,
27,2021-02-11,32734139,Questions (feat. Samia),"[34495, 99905]","['Sister James', 'Samia']",2021-02-02,12,Sister James,Samia,34495,99905.0,255.0,2865.0,8.900523560209423,39947.0,771314.0,5.179084004698476
28,2021-02-11,32729349,Tamaryn (Wherever I Am),[174986],['RINSE'],2021-02-02,12,RINSE,,174986,,1230.0,13816.0,8.902721482339317,,,
29,2021-02-11,32793156,Foolish,[575551],['Pop Zeus'],2021-02-05,12,Pop Zeus,,575551,,204.0,15.0,1360.0,,,
30,2021-02-11,32746200,All I Want,[275988],['Fabric Bear'],2021-02-05,12,Fabric Bear,,275988,,1597.0,2972.0,53.73485868102288,,,
31,2021-02-11,32682877,LA Waste,[4211786],['Young Winona'],2021-01-27,12,Young Winona,,4211786,,,,,,,
32,2021-02-11,32743947,Pre Post-Period Blues,[925149],['Bad Waitress'],2021-02-04,12,Bad Waitress,,925149,,2501.0,9977.0,25.067655607898164,,,
33,2021-02-11,32742280,Never Enough,[1730268],['Low Hummer'],2021-02-04,12,Low Hummer,,1730268,,790.0,1331.0,59.353869271224646,,,
34,2021-02-11,32717549,Life's a Game,[3653763],['Rhys E'],2021-01-29,12,Rhys E,,3653763,,253.0,622.0,40.67524115755627,,,
35,2021-02-11,32745426,Live It Again,[898245],['The Motive'],2021-02-03,12,The Motive,,898245,,3684.0,16442.0,22.406033329278678,,,
36,2021-02-11,32745216,Self-Help Guide,[3337269],['Cloudy'],2021-02-05,12,Cloudy,,3337269,,113.0,9184.0,1.2304006968641115,,,
37,2021-02-11,32747121,What This City Needs,[412154],['Sam Coffey and The Iron Lungs'],2021-02-04,12,Sam Coffey and The Iron Lungs,,412154,,2439.0,9696.0,25.154702970297027,,,
38,2021-02-17,32791420,Sorry,[1670175],"['Hey, King!']",2021-02-10,6,"Hey, King!",,1670175,,452.0,3156.0,14.321926489226868,,,
39,2021-02-11,32725892,Rock & Roll Suicide,[3742640],['Pops Tuna'],2021-01-31,12,Pops Tuna,,3742640,,148.0,2478.0,5.9725585149313964,,,
40,2021-02-11,32750309,Hands Up,[1104958],['Hallan'],2021-02-05,12,Hallan,,1104958,,1108.0,3419.0,32.40713658964609,,,
41,2021-02-11,32646520,Blacked Out On A Train,[1355289],['Snacking'],2021-02-08,12,Snacking,,1355289,,454.0,1905.0,23.832020997375327,,,
42,2021-02-11,32740219,I Can't Live on Love,[28795],['Rat Columns'],2021-02-03,12,Rat Columns,,28795,,869.0,7311.0,11.886198878402407,,,
43,2021-02-11,32733347,About You,[4122365],['Moontype'],2021-02-02,12,Moontype,,4122365,,252.0,3769.0,6.686123640222871,,,
44,2021-02-11,32705602,Jumped the Gun,[3641328],['Aligners'],2021-01-29,12,Aligners,,3641328,,189.0,480.0,39.375,,,
45,2021-01-14,32509076,rock n roll,[3660180],['lil cat'],2021-01-08,40,lil cat,,3660180,,41.0,42.0,97.61904761904762,,,
46,2021-02-11,32668201,Fashionista,[4207612],['Folly Group'],2021-01-25,12,Folly Group,,4207612,,,,,,,
