index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,Before_Tiktok_Date,total_spotify_followers,track_age
17,18,2021-03-09,Ella No Es Tuya (Remix),Rochy RD,USSD12100003,0.5714285714285711,32735015.0,32,['2021-02-03T00:00:00.000Z'],1023457,2021-01-29,172044.0,2 months
21,22,2021-03-09,Welcome to New York by Taylor Swift,Taylor Swift,USCJY1431299,1.7142857142857097,15191524.0,15,"['2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2014-10-27T00:00:00.000Z', '2017-11-09T00:00:00.000Z', '2014-10-26T00:00:00.000Z', '2020-06-24T00:00:00.000Z']",2762,2021-02-15,36789571.0,a month
22,23,2021-03-09,ТЫ ГОРИШЬ КАК ОГОНЬ,SLAVA MARLOW,DGA072168315,-2.0,32830946.0,17,['2021-02-10T00:00:00.000Z'],3534722,2021-02-13,228151.0,a month
23,24,2021-03-09,Astronaut In The Ocean,Masked Wolf,AUFXV1900105,,23902934.0,107,['2019-06-07T00:00:00.000Z'],794053,2020-11-15,11426.0,over 2 months
24,25,2021-03-09,Up,Cardi B,USAT22100061,0.0,32746863.0,32,"['2021-02-05T00:00:00.000Z', '2021-02-04T00:00:00.000Z']",200408,2021-01-29,14173626.0,2 months
25,26,2021-03-09,Up Down (Do This All Day) (feat. B.o.B),T-Pain,USRC11301140,-1.7142857142857097,15675733.0,57,"['2005-01-01T00:00:00.000Z', '2013-08-13T00:00:00.000Z']",209507,2021-01-04,3013493.0,2 months
26,27,2021-03-09,In The End - Mellen Gi Remix,Tommee Profitt,TCADO1871408,0.0,18965480.0,188,"['2018-04-06T00:00:00.000Z', '2019-03-22T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-06-12T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2021-02-19T00:00:00.000Z']",491800,2020-08-26,68832.0,over 2 months
28,29,2021-03-09,3G - Remix,Wisin,USSD11900456,0.0,28271261.0,28,"['2020-01-24T00:00:00.000Z', '2020-03-18T00:00:00.000Z']",206685,2021-02-02,6290020.0,a month
29,30,2021-03-09,Steven Universe,L.Dre,QZFZ32084911,7.142857142857139,28637630.0,260,['2020-02-21T00:00:00.000Z'],751357,2020-06-15,43519.0,over 2 months
30,31,2021-03-09,Bandook,Nirvair Pannu,FR96X2024977,-0.42857142857142894,29644559.0,239,['2020-05-30T00:00:00.000Z'],1692046,2020-07-06,4025.0,over 2 months
31,32,2021-03-09,"Rasputin (7"" Version)",Boney M.,DEC730800009,-2.28571428571429,11461430.0,83,"['2008-05-12T00:00:00.000Z', '2010-07-30T00:00:00.000Z', '2009-01-01T00:00:00.000Z']",735,2020-12-09,807790.0,over 2 months
32,33,2021-03-09,Paparazzi,Kim Dracula,QZNWY2036332,-3.0,32313666.0,78,['2020-12-11T00:00:00.000Z'],3972008,2020-12-14,81393.0,over 2 months
33,34,2021-03-09,Drive Forever - Remix,Sergio Valentino,SE6SA2085128,16.8571428571429,32204028.0,62,['2020-11-29T00:00:00.000Z'],3984393,2020-12-30,274.0,over 2 months
35,36,2021-03-09,Funk do Açaí,Vanessa Esplendorosa,USHM21843174,,20189121.0,7,['2018-02-22T00:00:00.000Z'],1118686,2021-02-23,1130.0,a month
36,37,2021-03-09,Tình Bạn Diệu Kỳ,Amee,VNA0M1911458,-3.71428571428571,32652366.0,25,['2021-01-23T00:00:00.000Z'],1284218,2021-02-05,,a month
